size	P1	P2	P3	P4
10	3359725.5	1839224.5	1325219.0	951430.0
12	675555.5	452011.5	856251.0	567065.0
14	636900.5	391293.5	553755.0	442530.0
16	707099.5	460216.5	624319.5	479726.0
18	781128.0	824524.0	814313.0	945595.0
20	864638.0	611008.0	628877.5	1267783.0
22	1017436.0	741561.5	612467.0	546279.0
24	1009412.5	507989.0	614108.0	701447.0
26	1604558.0	1030017.0	1239156.5	790792.0
28	1339077.0	571624.0	650940.5	568706.5
30	1695908.5	874666.5	1132854.0	1048433.0
32	1903953.5	858256.0	1233322.0	1158563.5
34	1968683.5	791703.5	927727.0	984068.5
36	2292512.5	828353.5	959270.5	865003.0
38	2665025.0	1013971.0	1449936.5	1583407.5
40	3886677.0	1447384.0	1900308.0	1325401.5
42	3664592.0	1145253.0	1317196.0	1293493.0
44	3102449.5	1329595.5	1053902.5	1025094.0
46	4283805.5	1465618.0	1260854.5	1093469.5
48	3353527.0	1018165.0	943042.5	881048.5
50	3816478.0	1297321.5	1021447.5	1009412.5
52	4044216.0	1089276.5	927726.5	1048798.0
54	3338940.0	907122.5	760706.5	796809.0
56	3790951.0	1378278.5	1179715.0	947236.0
58	4408159.0	1070860.5	931190.5	821789.0
60	3982039.5	975133.5	778393.0	719680.0
62	4065731.5	964376.0	761983.0	710564.0
64	4115144.5	3057594.5	1852900.0	2242370.0
66	4312797.0	3769435.0	1372079.5	1669105.0
68	6379759.5	2132421.0	1840136.5	2011896.5
70	7828237.5	2372558.0	2140262.0	2204444.0
72	6479132.5	2213743.5	1749333.5	2203532.5
74	6731851.0	2767315.5	2431817.5	2597014.0
76	7896249.0	2437470.0	2060216.0	1871315.5
78	7503679.5	3049025.5	2468467.0	2355965.0
80	9329959.0	3579623.0	2790837.5	2520250.0
82	1.3142426E7	4748033.0	3008547.0	2745071.0
84	8431588.0	2987760.0	2420512.5	2333903.0
86	8825252.0	2804147.5	2206267.5	1949903.0
88	9167132.0	2879087.5	2450233.5	2806153.5
90	9717058.0	3178848.5	2398632.0	2385503.5
92	9099304.0	3078199.0	2400820.0	2168524.0
94	9465798.0	3263088.0	2611053.5	2491440.5
96	9718334.0	3480068.0	2667213.5	2528820.0
98	9843599.0	2746347.5	1955920.0	1826643.5
100	1.0351223E7	2946734.5	2228694.5	2309470.0
102	1.1123416E7	2970803.0	2263703.0	1939510.0
104	1.173406E7	3483896.5	2431453.0	2608866.0
106	1.1758129E7	3211122.0	2282301.5	2196056.0
108	1.1994254E7	3355714.0	2833321.0	2571851.5
110	1.2403782E7	3326723.0	2436011.0	2358883.0
112	1.2508807E7	3402392.5	2551065.0	2411943.0
114	1.2764624E7	3563942.5	3562301.5	2279384.5
116	1.3173058E7	3583634.5	2648432.5	2478131.0
118	1.3733376E7	3504318.5	2523715.0	2392068.0
120	1.4653445E7	3658027.5	2550518.0	2663931.0
122	1.4041708E7	3943019.0	2925036.5	2774609.5
124	1.4905069E7	3928979.0	3727133.0	2567475.5
126	1.6457478E7	4460854.0	3421355.0	4307326.5
128	1.645055E7	4279611.5	3066711.5	3186689.0
130	1.618835E7	3835805.5	2797219.0	2747623.5
132	1.648574E7	4362209.5	3248865.5	3169002.5
134	1.6186162E7	4018141.5	2750176.0	2562735.0
136	1.7070128E7	4622951.0	3500307.0	3475691.5
138	1.7252282E7	4298028.0	2987030.5	2908078.5
140	1.8117648E7	4886244.0	3593663.0	3433389.5
142	1.8186208E7	4913594.5	3684466.5	3732056.0
144	1.9526196E7	5226847.5	4077948.0	3671703.0
146	2.0340874E7	5653879.5	4143953.5	4029993.5
148	2.0282344E7	5416842.0	4043668.5	4225640.0
150	1.9742994E7	5149537.5	3689389.0	3443236.0
152	2.2118652E7	5972785.0	4491486.0	4188626.0
154	2.1712042E7	5823634.5	4100740.0	4351087.5
156	2.2564828E7	6082369.0	4749127.0	4692968.0
158	2.1914616E7	5430700.0	3796056.0	3673709.0
160	2.2649978E7	6406563.0	4598882.0	4480181.5
162	2.3632406E7	6604215.0	4743839.0	4697708.5
164	2.4009476E7	6311018.5	4566973.5	4668717.0
166	2.4241044E7	6338369.0	4799999.0	4533789.0
168	2.5045876E7	6600386.5	4930734.0	4900648.5
170	2.6414492E7	6665480.0	4915965.0	4857982.0
172	2.6010434E7	6825207.0	4929275.0	5064569.0
174	2.675947E7	7180215.0	6597651.0	4685492.0
176	2.7453078E7	7503497.0	5691076.0	5265321.5
178	2.6970068E7	6841070.0	4608728.5	4341059.0
180	2.8591402E7	7418893.0	5570369.5	6221491.5
182	2.8738184E7	7545070.5	5356124.0	5234871.0
184	3.0229146E7	7885309.0	6279110.0	7309856.5
186	2.9937042E7	7478335.0	5093560.5	4873116.0
188	3.0398536E7	7277035.5	5116534.5	5177982.0
190	3.0463996E7	8445993.0	5864477.5	5894927.0
192	3.120829E7	7274118.5	4980147.0	4711931.0
194	3.3863288E7	7166540.0	4684033.5	4629149.5
196	3.1353612E7	6635760.0	4313161.5	4030540.5
198	3.5491552E7	7560933.0	4996557.0	5136956.0
200	3.3383196E7	7253696.5	4999292.5	4791247.0
